,name,rating,reviews,price,brand
187,Generic Deep Tissue Lacrosse Myofascial  Ball For Back Black Purple,0 out of 5,(No ratings available),KSh 741,Generic
188,Generic 22*18*8cm Waterproof Travel Cosmetic Bags,4 out of 5,(1 rating),KSh 720,Generic
189,Generic 5Pcs Professional Salon Ladies  Hair Brush  Comb Set,0 out of 5,(No ratings available),KSh 711,Generic
190,Generic 10x Skin Care Sponge Soft Facial Cleaning Wash Puff Face Deep Cleaning,0 out of 5,(No ratings available),KSh 560,Generic
191,Generic Rotating Jewelry Organizer,0 out of 5,(No ratings available),KSh 950,Generic
192,Fashion Synthetic Hairdressing Training Head Dummy Mannequin Hair,4 out of 5,(5 ratings),"KSh 2,199",Fashion
193,Generic Waterproof Zipper Coin Purse And Cute Sanitary Pad Organizer,5 out of 5,(1 rating),KSh 509,Generic
194,"Fashion Large Powder Brush,Powder Brush & Blush Brush-1 Pcs",0 out of 5,(No ratings available),KSh 330,Fashion
195,Neutrogena Naturals Make Up Remover 177ml Neutrogena,0 out of 5,(No ratings available),"KSh 1,723",Neutrogena
196,Generic False Eye Lash Salon Eyelash Extension Glue Tools Set Full Kit Makeup Case Set,0 out of 5,(No ratings available),"KSh 20,679",Generic
197,Generic Training Head 80% Real Human Hair Manikin Head Hairdressing Dummy Head Salon Head + Hair Clamp Holder for Hair Practice,0 out of 5,(No ratings available),"KSh 1,979",Generic
198,Generic Fashion LED Light Makeup Mirror Table Lamp 360° Rotation Brightness Adjustable Beauty Cosmetic Mirror,0 out of 5,(No ratings available),"KSh 1,251",Generic
199,Generic 2pcs Soft Bristles Wave Hair Brush For Thick  Coarse Hair Or Beard,0 out of 5,(No ratings available),"KSh 1,119",Generic
